Tipos de cambio (pesos por d—lar),,
,,
Periodo,1. D—lar observado,
04.Jan.2016,710.16,
05.Jan.2016,716.94,
06.Jan.2016,715.08,
07.Jan.2016,715.84,
08.Jan.2016,721.31,
09.Jan.2016,,
10.Jan.2016,,
11.Jan.2016,723.31,
12.Jan.2016,729.78,
13.Jan.2016,730.28,
14.Jan.2016,726.57,
15.Jan.2016,725.98,
16.Jan.2016,,
17.Jan.2016,,
18.Jan.2016,730.31,
19.Jan.2016,730.20,
20.Jan.2016,726.19,
21.Jan.2016,729.22,
22.Jan.2016,726.63,
23.Jan.2016,,
24.Jan.2016,,
25.Jan.2016,715.63,
26.Jan.2016,717.46,
27.Jan.2016,720.14,
28.Jan.2016,716.21,
29.Jan.2016,711.72,
30.Jan.2016,,
31.Jan.2016,,
01.Feb.2016,710.37,
02.Feb.2016,714.44,
03.Feb.2016,713.54,
04.Feb.2016,709.43,
05.Feb.2016,698.49,
06.Feb.2016,,
07.Feb.2016,,
08.Feb.2016,700.02,
09.Feb.2016,709.75,
10.Feb.2016,715.41,
11.Feb.2016,711.34,
12.Feb.2016,713.47,
13.Feb.2016,,
14.Feb.2016,,
15.Feb.2016,708.63,
16.Feb.2016,701.39,
17.Feb.2016,704.92,
18.Feb.2016,705.44,
19.Feb.2016,700.74,
20.Feb.2016,,
21.Feb.2016,,
22.Feb.2016,702.38,
23.Feb.2016,693.78,
24.Feb.2016,693.23,
25.Feb.2016,698.47,
26.Feb.2016,691.36,
27.Feb.2016,,
28.Feb.2016,,
29.Feb.2016,689.18,
01.Mar.2016,694.17,
02.Mar.2016,694.82,
03.Mar.2016,688.48,
04.Mar.2016,686.64,
05.Mar.2016,,
06.Mar.2016,,
07.Mar.2016,681.39,
08.Mar.2016,681.63,
09.Mar.2016,682.00,
10.Mar.2016,678.72,
11.Mar.2016,678.22,
12.Mar.2016,,
13.Mar.2016,,
14.Mar.2016,683.00,
15.Mar.2016,684.74,
16.Mar.2016,685.98,
17.Mar.2016,688.11,
18.Mar.2016,672.06,
19.Mar.2016,,
20.Mar.2016,,
21.Mar.2016,671.97,
22.Mar.2016,677.52,
23.Mar.2016,677.42,
24.Mar.2016,677.16,
25.Mar.2016,,
26.Mar.2016,,
27.Mar.2016,,
